name,latency,read_uncached,write,price
Corsair CMV4GX3M1A1333C9 4GB,26,12533,7541,$22.99
Corsair CMV4GX3M1A1600C11 4GB,27,13735,8367,$20.99
Corsair CMV4GX3M1B1600C11 4GB,25,14348,8179,NA
Corsair CMV4GX3M1C1600C11 4GB,28,12854,8457,$20.99
Corsair CMV8GX3M1A1333C9 8GB,28,11589,6967,$99.98
Corsair CMV8GX3M1A1600C11 8GB,27,13327,8380,$43.73
Corsair CMV8GX3M1C1600C11 8GB,28,12146,7202,$44.02
Corsair CMV8GX3M2A1333C9 4GB,27,13022,7373,$45.99
Corsair CMV8GX3M2A1600C11 4GB,35,11559,8414,$47.46
Corsair CMX12GX3M3A1333C9 4GB,26,12541,7339,$166.98
Corsair CMX12GX3M3A2000C9 4GB,25,12318,9973,$144.99*
Corsair CMX16GX3=4A1866C11 4GB,25,13329,11997,NA
Corsair CMX16GX3M2A1333C9 8GB,27,13781,8274,$156.99
Corsair CMX16GX3M2A1600C11 8GB,27,13472,8439,$169.99
Corsair CMX16GX3M4A1333C9 4GB,26,13310,8394,$89.99
Corsair CMX16GX3M4A1600C9 4GB,26,13832,9349,$179.99
Corsair CMX16GX3M4A1866C11 4GB,23,15840,11197,NA
Corsair CMX32GX3M4A1333C9 8GB,28,12141,7835,$401.41*
Corsair CMX32GX3M4A1600C11 8GB,27,13579,9059,$274.59*
Corsair CMX4GX3M1A1333C9 4GB,27,11887,7189,$40.00
Corsair CMX4GX3M1A1600C11 4GB,26,12996,7489,$49.99
Corsair CMX4GX3M1A1600C7 4GB,23,14707,10033,NA
Corsair CMX4GX3M1A1600C9 4GB,25,13291,8353,$23.99
Corsair CMX4GX3M2A1333C8 2GB,27,10674,7836,$33.99*
Corsair CMX4GX3M2A1600C7 2GB,23,14544,9451,NA
Corsair CMX4GX3M2A1600C8 2GB,23,13761,9123,$44.99*
Corsair CMX4GX3M2A1600C9 2GB,24,13647,8783,$63.88
Corsair CMX4GX3M2B1600C9 2GB,24,13897,8645,$69.95*
Corsair CMX4GX3M2B2000C9 2GB,21,15441,10839,$59.99*
Corsair CMX64GX3M8A1333C9 8GB,29,12281,9609,$692.67*
