name,price,mark,value,single_thread,single_thread_value,tdp,powerperf,testdate,socket,category
AMD Athlon 64 X2 Dual Core TK-57,NA,971,NA,NA,NA,31,31,Aug 2010,NA,Unknown
AMD Athlon 64 X2 Dual-Core TK-42,NA,877,NA,470,NA,20,43,Jul 2009,NA,Unknown
AMD Athlon 64 X2 Dual-Core TK-53,NA,815,NA,515,NA,31,26,Feb 2009,NA,Unknown
AMD Athlon 64 X2 Dual-Core TK-55,$72.74*,874,12.02,535,7.36,35,24,Dec 2008,NA,Unknown
AMD Athlon 64 X2 Dual-Core TK-57,NA,928,NA,565,NA,31,29,Feb 2009,NA,Unknown
AMD Athlon 64 X2 QL-60,NA,918,NA,536,NA,35,26,Mar 2009,S1,Laptop
AMD Athlon 64 X2 QL-62,NA,1011,NA,570,NA,35,28,Jan 2009,S1,Laptop
AMD Athlon 64 X2 QL-64,NA,989,NA,583,NA,35,28,Mar 2009,S1,Laptop
AMD Athlon 64 X2 QL-65,NA,1051,NA,587,NA,35,30,Nov 2009,S1,Laptop
AMD Athlon 64 X2 QL-66,NA,947,NA,553,NA,35,27,Oct 2009,S1,Laptop
AMD Athlon 64 X2 QL-67,NA,1006,NA,469,NA,35,28,Dec 2009,S1,Laptop
AMD Athlon 64 X2 TK-55,NA,955,NA,NA,NA,31,30,Aug 2010,NA,Unknown
AMD Athlon 64 X2 TK-57,NA,988,NA,NA,NA,31,31,Feb 2010,NA,Unknown
AMD Athlon 7450 Dual-Core,NA,1448,NA,806,NA,95,15,Apr 2009,AM2+,Desktop
AMD Athlon 7550 Dual-Core,$60.00*,1458,24.30,843,14.06,95,15,May 2009,AM2+,Desktop
AMD Athlon 7750 Dual-Core,$95.00,1572,16.55,899,9.47,95,16,Jan 2009,AM2+,Desktop
AMD Athlon 7850 Dual-Core,$209.65*,1711,8.17,954,4.55,95,18,May 2009,AM2+,Desktop
AMD Athlon 7850 Dual-Core 2.8G,NA,288,NA,NA,NA,95,3,Apr 2011,AM2+,Desktop
AMD Athlon Dual Core 4050e,NA,1086,NA,640,NA,45,24,Feb 2009,AM2,Desktop
AMD Athlon Dual Core 4450B,$31.00*,1162,37.49,688,22.21,45,25,Mar 2009,AM2+,Desktop
AMD Athlon Dual Core 4450e,NA,1102,NA,668,NA,45,24,Feb 2009,AM2,Desktop
AMD Athlon Dual Core 4850B,NA,1391,NA,767,NA,45,30,Oct 2010,AM2+,Desktop
AMD Athlon Dual Core 4850e,$39.00*,1310,33.61,752,19.29,45,29,Feb 2009,AM2,Desktop
AMD Athlon Dual Core 5000B,$95.00*,1300,13.69,780,8.22,65,20,May 2009,AM2,Desktop
AMD Athlon Dual Core 5050e,$60.00*,1347,22.45,784,13.07,45,29,Feb 2009,AM2,Desktop
AMD Athlon Dual Core 5200B,NA,1319,NA,817,NA,65,20,Apr 2009,AM2,Desktop
AMD Athlon Dual Core 5400B,NA,1411,NA,841,NA,65,21,Jun 2009,AM2,Desktop
AMD Athlon Dual Core 5600B,NA,1304,NA,895,NA,65,20,Mar 2012,AM2+,Desktop
AMD Athlon II 160u,$29.99*,560,18.68,568,18.95,20,28,Jun 2010,NA,Desktop
AMD Athlon II 170u,$29.95*,624,20.86,630,21.06,20,31,Oct 2010,"AM2+,AM3",Desktop
AMD Athlon II Dual-Core M300,NA,1114,NA,641,NA,35,31,Oct 2009,NA,Unknown
AMD Athlon II Dual-Core M320,$30.00*,1139,37.99,672,22.41,35,32,Nov 2009,NA,Unknown
AMD Athlon II Dual-Core M340,NA,1056,NA,679,NA,35,30,Jun 2010,NA,Unknown
AMD Athlon II N330 Dual-Core,NA,1154,NA,712,NA,35,32,Jul 2010,NA,Unknown
AMD Athlon II N350 Dual-Core,NA,1247,NA,732,NA,35,35,Dec 2010,NA,Unknown
AMD Athlon II N370 Dual-Core,NA,1559,NA,800,NA,35,44,May 2012,S1g4,Unknown
AMD Athlon II Neo K125,NA,472,NA,497,NA,12,39,Jun 2010,S1,Laptop
AMD Athlon II Neo K145,NA,525,NA,560,NA,12,43,Jan 2011,S1,Laptop
AMD Athlon II Neo K325 Dual-Core,$25.99*,775,29.83,430,16.57,12,64,Jun 2010,NA,Laptop
AMD Athlon II Neo K345 Dual-Core,NA,856,NA,472,NA,12,71,Jan 2011,NA,Laptop
AMD Athlon II Neo N36L Dual-Core,NA,793,NA,428,NA,12,66,Dec 2010,NA,Laptop
AMD Athlon II P320 Dual-Core,$29.95*,1216,40.62,677,22.62,25,48,Jun 2010,NA,Unknown
AMD Athlon II P340 Dual-Core,$44.95*,1250,27.81,705,15.69,25,50,Oct 2010,S1g4,Unknown
AMD Athlon II P360 Dual-Core,$24.00*,1319,54.96,754,31.43,25,52,Feb 2011,S1g4,Unknown
AMD Athlon II X2 210e,NA,1486,NA,904,NA,45,33,Dec 2010,AM3,Desktop
AMD Athlon II X2 215,$11.99*,1575,131.37,907,75.66,65,24,Sep 2009,AM3,Desktop
AMD Athlon II X2 220,$19.99,1632,81.65,932,46.66,65,25,Jun 2010,AM3,Desktop
AMD Athlon II X2 225,NA,1526,NA,NA,NA,65,23,Jun 2012,AM2+/AM3,Unknown
AMD Athlon II X2 235e,$181.88*,1657,9.11,916,5.04,45,36,Oct 2009,AM3,Desktop
AMD Athlon II X2 240,$15.99,1643,102.79,938,58.72,65,25,Aug 2009,AM3,Desktop
AMD Athlon II X2 240e,$34.95*,1698,48.60,959,27.45,45,37,Dec 2009,AM3,Desktop
AMD Athlon II X2 245,$34.95*,1657,47.42,951,27.21,65,25,Jul 2009,AM2+/AM3,Desktop
AMD Athlon II X2 245e,$80.00*,1706,21.33,950,11.88,45,37,Mar 2011,AM3,Desktop
AMD Athlon II X2 250,$189.95*,1742,9.17,1005,5.30,65,26,Jun 2009,AM3,Desktop
