name,size,mark,price,value,date,type
BP4 mSATA SSD,223.6 GB,2417,$179.99*,13.43,Jun 2014,SSD
BP4e mSATA SSD,223.6 GB,2642,$81.99*,32.22,Sep 2014,SSD
BULLDOZER 120G,111.8 GB,3793,NA,NA,Jan 2019,SSD
C3000.6-M064,59.6 GB,980,NA,NA,Mar 2015,SSD
C400-MTF DDAC128MAM,119.2 GB,2220,NA,NA,May 2013,SSD
CA3-8D512-Q11 NVMe LITEON 512GB,476.9 GB,13124,NA,NA,May 2018,SSD
CENTON SSD,111.8 GB,2955,NA,NA,Jun 2013,SSD
CFD CSSD-SM64WJ3,59.6 GB,853,NA,NA,Nov 2013,SSD
CHN 25SATA01M 060,55.9 GB,1387,NA,NA,Oct 2015,SSD
CHN 25SATA01M 120,111.8 GB,2269,NA,NA,Mar 2016,SSD
CHN mSATA01M 060,55.9 GB,2075,NA,NA,Feb 2016,SSD
CHN mSATA02M 256,238.5 GB,3174,NA,NA,Apr 2016,SSD
CHN-mSATAM3-256,238.5 GB,3443,NA,NA,Dec 2018,SSD
CHN25SATAS1 064,59.6 GB,2029,NA,NA,Mar 2018,SSD
CHN25SATAS1 25,238.5 GB,2438,NA,NA,Jun 2018,SSD
CLOVER CD502HJ,465.8 GB,827,NA,NA,Dec 2012,HDD
CLOVER CN-M750MBB,698.6 GB,595,NA,NA,Feb 2017,HDD
CO-ZEVTRXE 4,119.2 GB,3399,NA,NA,Nov 2012,SSD
Colorful SL300 120GB,111.8 GB,2465,NA,NA,Feb 2017,SSD
Colorful SL300 128GB,119.2 GB,3129,NA,NA,Dec 2017,SSD
Colorful SL300 160GB,149 GB,3110,NA,NA,Apr 2018,SSD
Colorful SL500 240GB,223.6 GB,3004,NA,NA,Jul 2016,SSD
Colorful SL500 640GB,596.2 GB,3106,NA,NA,Mar 2018,SSD
Corsai Force 3 SSD,223.6 GB,2499,NA,NA,Sep 2015,SSD
Corsai Force GS,119.2 GB,3055,NA,NA,Oct 2015,SSD
Corsai Force GT,55.9 GB,3341,NA,NA,Nov 2015,SSD
Corsai Force LE SSD,223.6 GB,4446,NA,NA,Mar 2016,SSD
Corsair Accelerator SSD,41.9 GB,1397,$54.99,25.40,Nov 2012,SSD
Corsair CMFSSD-128D1,119.2 GB,767,$199.99,3.84,Sep 2009,SSD
CORSAIR CMFSSD-128GB,119.2 GB,1138,$143.55*,7.93,Jul 2013,SSD
Corsair CMFSSD-128GBG2D,119.2 GB,989,$143.55*,6.89,Jul 2009,SSD
Corsair CMFSSD-256D1,238.2 GB,1055,NA,NA,Nov 2009,SSD
Corsair CMFSSD-256GBG2D,238.5 GB,950,$69.99*,13.57,Jun 2009,SSD
Corsair CMFSSD-32D1,29.7 GB,564,NA,NA,Oct 2009,SSD
Corsair CMFSSD-64D1,59.6 GB,723,$79.00*,9.15,Jul 2009,SSD
Corsair CMFSSD-64GBG2D,59.6 GB,1004,$144.08*,6.97,Oct 2009,SSD
CORSAIR CMFSSD-64NI,60.2 GB,627,NA,NA,Feb 2014,SSD
Corsair CSSD-F115GB2,107.1 GB,1584,$172.59*,9.18,Oct 2012,SSD
Corsair CSSD-F115GB2-A,107 GB,1487,$172.59,8.62,May 2011,SSD
Corsair CSSD-F12,111.8 GB,2129,NA,NA,Jan 2013,SSD
Corsair CSSD-F120GB2,111.8 GB,1734,$39.98,43.37,Jul 2010,SSD
Corsair CSSD-F160GBP2,165.2 GB,1467,$289.99*,5.06,Oct 2010,SSD
Corsair CSSD-F180GB2,167.7 GB,1620,$246.59,6.57,Jan 2013,SSD
