name,latency,read_uncached,write,price
G Skill Intl F2-6400CL5-2GBSK 2GB,55,4165,1714,$33.52*
G Skill Intl F2-6400CL5-2GBSQ 2GB,63,3721,1785,$26.41
G Skill Intl F2-6400CL5-4GBPQ 4GB,55,4985,2685,$79.99
G Skill Intl F2-6400CL6-2GBMQ 2GB,53,4654,2097,NA
G Skill Intl F2-6400CL6-4GBMQ 4GB,58,5198,2771,$83.99
G Skill Intl F2-6400CL6-4GBSQ 4GB,54,4664,1831,$104.87
G Skill Intl F2-6400PHU1-1GBNR 1GB,51,4415,2031,NA
G Skill Intl F2-7200CL4-2GBPI-B 2GB,40,6547,2931,NA
G Skill Intl F2-8000CL5-2GBPI 2GB,41,6071,2483,NA
G Skill Intl F2-8000CL5-2GBPQ 2GB,45,5640,2486,NA
G Skill Intl F2-8500CL5-1GBPI 1GB,64,4424,2525,NA
G Skill Intl F2-8500CL5-1GBPK 1GB,50,5155,2537,$21.99*
G Skill Intl F2-8500CL5-2GBPI 2GB,45,6005,2802,NA
G Skill Intl F2-8500CL5-2GBPI-B 2GB,47,5979,2943,NA
G Skill Intl F2-8500CL5-2GBPK 2GB,50,5574,2810,$44.99*
G Skill Intl F2-8500CL5-2GBPQ 2GB,71,4730,2781,NA
G Skill Intl F2-8500CL5-2GBTD 2GB,45,5996,2906,NA
G Skill Intl F2-8500CL6-2GBNQ 2GB,48,5481,2324,NA
G Skill Intl F2-8800CL5-2GBPI 2GB,43,6211,2752,NA
G Skill Intl F2-9600CL5-2GBPI 2GB,39,6139,2987,NA
G Skill Intl F2-9600CL5-2GBTD 2GB,35,7527,3385,NA
G Skill Intl F2-9600CL6-2GBRH 2GB,43,6465,2960,NA
"Gigaram, Inc. GR2GU16T1288-806 2GB",59,4638,2017,NA
Gingle Technology Co. Ltd. 1GB,57,4005,1898,NA
Golden Empire 1GB DDR2 800 1GB,47,4626,2006,NA
Golden Empire 1GB DDR2 800 CAS=4 1GB,48,4577,2066,NA
Golden Empire 2GB DDR2 1066CAS=5 2GB,46,5802,2565,NA
Golden Empire 2GB DDR2 800 CAS=4 2GB,37,6927,1927,NA
