name,cpu_score,gpu_score,rank
Pantech IM-100K,3896,72049,468
Planet Gemini 4G,6916,160677,197
Pptv KING 7,3997,78400,450
Razer Phone,15492,205705,14
Razer Phone 2,19262,243370,2
Rim Z30,1265,33900,734
Rockchip H96 max,4642,82908,363
Rockchip P1,6016,98712,242
Rockchip px5,2478,54985,676
Rockchip rk3288,4018,86934,447
Samsung aosp_j5ltexx,2217,41895,690
Samsung Galaxy A9 Pro Duos,7064,128452,191
Samsung Galaxy Note 3 (SM-N900),5127,67473,324
Samsung Galaxy Note 3 (SM-N9005),3563,99540,518
Samsung Galaxy Note 3 ATT (SM-N900A),5728,98534,262
Samsung Galaxy Note 4 (SM-N910C),4824,110596,347
Samsung Galaxy Note 4 (Various Models),4792,85358,349
Samsung Galaxy Note 5 (Various Models),6465,132736,217
Samsung Galaxy Note 5 Duos,6414,132542,221
Samsung Galaxy Note 7 (Various Models),4443,103108,384
Samsung Galaxy Note 8 (Various Models),11833,170989,78
Samsung Galaxy S4 (Various Models),3450,83502,544
Samsung Galaxy S6 (Various Models),6369,130020,223
Samsung Galaxy S6 Edge (Various Models),6897,137899,199
Samsung Galaxy S6 Edge Plus (Various Models),6803,139175,202
Samsung Galaxy S7 (Various Models),7897,109877,147
Samsung Galaxy S7 Active (Various Models),6144,57516,236
Samsung Galaxy S7 Edge (Various Models),7723,117649,154
Samsung Galaxy S7 Edge Duos,7790,102280,152
Samsung Galaxy S8 (Various Models),11078,173167,91
Samsung Galaxy S8 Active (Various Models),11746,181293,81
Samsung Galaxy S8+ (Various Models),11350,183200,88
Samsung Galaxy S9 (Various Models),14051,226035,36
Samsung Galaxy S9+ (Various Models),14290,227261,33
Samsung Galaxy Tab S 10.5 (SM-T800),5431,78398,288
Samsung Galaxy Tab S 8.4 (SM-T700),5327,79579,303
Samsung Galaxy Tab S2 8.0 (SM-T713),7063,125174,192
Samsung Galaxy Tab S2 8.0 (SM-T719),7074,146555,190
Samsung Galaxy Tab S2 9.7 (SM-T813),7083,134508,189
Samsung Galaxy Tab S3 9.7 (SM-T819),6703,124577,208
Samsung Galaxy Tab S3 9.7 (SM-T820),8012,70200,139
Samsung GT-I9195,1433,45233,732
Samsung GT-I9295,2148,65157,701
Samsung Nexus 10,5081,46937,330
Samsung SCV37,11964,183635,74
Samsung SM-A300FU,1962,40444,716
Samsung SM-A310F,3537,53065,525
Samsung SM-A320F,3346,89518,566
Samsung SM-A320FL,3290,86116,577
Samsung SM-A500FU,2166,42157,697
Samsung SM-A500M,1923,39133,719
Samsung SM-A510F,4242,80641,419
Samsung SM-A520F,4777,96780,352
Samsung SM-A520W,4916,99902,340
Samsung SM-A530F,7926,151736,145
Samsung SM-A530W,7519,142478,170
Samsung SM-A600FN,3464,87340,541
Samsung SM-A700FD,3374,57083,562
Samsung SM-A720F,4769,97463,354
Samsung SM-A730F,7953,149457,142
Samsung SM-A920F,9156,170011,111
Samsung SM-C710F,3985,92934,453
Samsung SM-C9000,6474,117716,216
Samsung SM-G390F,2919,49683,632
Samsung SM-G532M,2834,42116,638
Samsung SM-G532MT,3058,46917,619
Samsung SM-G570F,2815,47171,639
Samsung SM-G570M,3020,50127,623
Samsung SM-G570Y,3016,52016,625
Samsung SM-G600FY,1649,36548,727
Samsung SM-G610F,3427,80579,549
Samsung SM-G610M,3311,87620,573
Samsung SM-G610Y,3084,78023,615
Samsung SM-G890A,5764,121671,257
Samsung SM-G892U,12484,193021,60
Samsung SM-G900A,3194,80262,602
Samsung SM-G900F,3275,88011,581
Samsung SM-G900FD,3220,86844,598
Samsung SM-G900FQ,3536,91499,526
Samsung SM-G900I,3329,87133,569
Samsung SM-G900M,3275,86980,580
Samsung SM-G900MD,3742,106885,487
Samsung SM-G900P,3315,81886,572
Samsung SM-G900R4,3531,88771,530
Samsung SM-G900S,3386,76226,561
Samsung SM-G900T,3351,82988,564
Samsung SM-G900V,3285,92300,578
Samsung SM-G900W8,3485,97069,538
Samsung SM-G901F,5435,100266,287
Samsung SM-G903F,4029,81188,444
Samsung SM-G903W,4166,74068,429
Samsung SM-G930VL,8589,68156,124
Samsung SM-G935S,8018,145541,138
Samsung SM-G960F,12790,177004,56
Samsung SM-G960N,9471,152733,107
Samsung SM-G960U1,14150,225021,35
Samsung SM-G960W,14757,221159,27
Samsung SM-G965F,13417,178949,43
Samsung SM-G965N,13192,179186,48
Samsung SM-J320V,1945,39284,717
Samsung SM-J327P,2580,46895,664
Samsung SM-J327V,2342,46608,683
Samsung SM-J330F,2887,47977,636
Samsung SM-J330FN,2857,46501,637
Samsung SM-J500F,1857,39226,721
Samsung SM-J500FN,2026,40222,712
Samsung SM-J500M,2110,40694,707
Samsung SM-J510FN,2124,40158,705
Samsung SM-J510MN,1937,37825,718
Samsung SM-J530F,3234,87468,595
Samsung SM-J600FN,3405,88169,555
Samsung SM-J600G,3254,74819,586
Samsung SM-J700F,3587,74991,514
Samsung SM-J700P,3016,61145,624
Samsung SM-J700T1,3651,80953,503
Samsung SM-J701F,3258,88859,585
Samsung SM-J701M,3303,88135,575
Samsung SM-J710F,3165,89381,604
Samsung SM-J710FN,3926,79905,464
Samsung SM-J710MN,3131,90072,609
Samsung SM-J727P,5214,118092,313
